LDSS_ID,DO_NUM,AU_NUM,CLIENT_ID,CL_LAST_NAME,CL_FIRST_NAME,BENEFIT_BEGIN_DATE,APPLICATION_DATE,DOB,HOH_REL_CD,CL_AU_STS_DT,STREET_NUM,STREET_DTCTN_CODE,STREET_NAME,STREET1_ADDRESS,STREET_NAME,STREET_TYPE_CODE,APT_NUM,CITY,STATE,ZIPCODE,STREET_NUM_RES,STREET_DRCTN_CD_RES,STREET_NAME_RES,STREET_1_ADDRESS_RES,STREET_2_ADDRESS_RES,STREET_TYPE_CD_RES,APT_NUM_RES,CITY_RES,STATE_RES,ZIPCODE_RES,AU_BNFT_AMT,PRIM_LANG_CD,SSN,LIVING_ARRANGEMENT_TYPE_CODE,PREGNANCY_DUE_DT,INCOME_TYPE_CD,INCOME_FREQ_CD,WORK_HOURS_NUM,INCOME_AMT,UI_TYPE_CD,UI_FREQ_CD,UI_AMT,DISABILITY_TYPE_CODE,DISABILITY_START_DATE,DISABILITY_END_DATE,AU_RR_PRD_START_DT,AU_RR_PRD_END_DT,INS_STATUS_CODE,WORK_COUNTER,ABAWD_STATUS,Benefit_Status_Date
1,7,4338,199,DEMODEC,JILL,20161101,20161101,19900101,SE,20150202,9999,,VIRGINIA,,,AVE,,CUMBERLAND,MD,215020000,9999,,VIRGINIA,,,AVE,,CUMBERLAND,MD,215020000,16,E,73777777,AH,-,EI,BW,41,10,-,-,-,-,-,-,201606,201612,-,-,-,20130901
1,7,4339,200,DEMODEC,JACK ,20161101,20160111,19900101,SE,20150202,9999,,VIRGINIA,,,AVE,,CUMBERLAND,MD,215020000,9999,,VIRGINIA,,,AVE,,CUMBERLAND,MD,215020000,16,E,73777778,AH,-,EI,BW,10,10,-,-,-,-,-,-,201606,201612,-,-,-,20130901
1,7,4340,201,DEMODEC,RALPH,20160116,20160116,19900101,SE,20150202,9999,,VIRGINIA,,,AVE,,CUMBERLAND,MD,215020000,9999,,VIRGINIA,,,AVE,,CUMBERLAND,MD,215020000,16,E,73777779,AH,-,EI,BW,10,400,-,-,-,-,-,-,201606,201612,-,-,-,20130901
1,7,4341,202,DEMODEC,JAY,20160101,20160101,19900101,SE,20150202,9999,,VIRGINIA,,,AVE,,CUMBERLAND,MD,215020000,9999,,VIRGINIA,,,AVE,,CUMBERLAND,MD,215020000,16,E,73777780,AH,-,-,-,-,-,SI,AC,181,-,-,-,201606,201612,-,-,-,20130901
1,7,4342,203,DEMODEC,JAKE,20160116,20160116,19900101,SE,20150202,9999,,VIRGINIA,,,AVE,,CUMBERLAND,MD,215020000,9999,,VIRGINIA,,,AVE,,CUMBERLAND,MD,215020000,16,E,73777781,AH,-,EI,BW,10,10,-,-,-,-,-,-,201606,201612,-,-,-,20130901
1,7,4343,204,DEMODEC,JEROME,20160116,20160116,19900101,SE,20150202,9999,,VIRGINIA,,,AVE,,CUMBERLAND,MD,215020000,9999,,VIRGINIA,,,AVE,,CUMBERLAND,MD,215020000,16,E,73777782,AH,-,EI,BW,10,10,-,-,-,-,-,-,201606,201612,-,-,-,20130901
1,7,4344,205,DEMODEC,KARL,20160116,20160116,19900101,SE,20150202,9999,,VIRGINIA,,,AVE,,CUMBERLAND,MD,215020000,9999,,VIRGINIA,,,AVE,,CUMBERLAND,MD,215020000,16,E,73777783,AH,-,EI,BW,10,10,-,-,-,-,-,-,201606,201612,-,-,-,20130901
1,7,4345,206,DEMODEC,KELLY,20160116,20160116,19900101,SE,20150202,9999,,VIRGINIA,,,AVE,,CUMBERLAND,MD,215020000,9999,,VIRGINIA,,,AVE,,CUMBERLAND,MD,215020000,16,E,73777784,AH,-,-,-,-,-,SA,AC,10,-,-,-,201606,201612,-,-,-,20130901
1,7,4346,207,DEMODEC,KRIS,20160116,20160116,19900101,SE,20150202,9999,,VIRGINIA,,,AVE,,CUMBERLAND,MD,215020000,9999,,VIRGINIA,,,AVE,,CUMBERLAND,MD,215020000,16,E,73777785,AH,-,-,-,-,-,SA,AC,10,-,-,-,201606,201612,-,-,-,20130901
1,7,4338,208,DEMODEC,JILLIAN,20161101,20161101,19900101,SE,20150202,9999,,VIRGINIA,,,AVE,,CUMBERLAND,MD,215020000,9999,,VIRGINIA,,,AVE,,CUMBERLAND,MD,215020000,16,E,73777777,AH,-,EI,BW,41,10,-,-,-,-,-,-,201606,201612,-,-,-,20130901
